ID	Age	Gender	Student or not	1. Major	2. Undergraduate/graduate student	3. Favorite subject before college	4. Leisure time spent on reading (4-point scale ranging from [none of my time reading] to [a lot of my time reading]	5. Reading for school (hr)	6. Reading NOT for school (hr)	7. Books/materials read at home vs. at school (1-[yes], 2-[no])	8. Books/materials read at home	9. Reading on eBook devices (5-point scale ranging from [none] to [>5 (hrs)])	9. Reading on computers/laptops (5-point scale ranging from [none] to [>5 (hrs)])	9. Reading on smartphones(5-point scale ranging from [none] to [>5 (hrs)])	10. Time spent texting friends R2	10. Time spent playing games online (5-point scale ranging from [none] to [>5 (hrs)])	10. Time spent watching TV (5-point scale ranging from [none] to [>5 (hrs)])	11. Favorite times to read	12. Where you read	13. Hours per week reading: Need to know information (5-point scale ranging from [<2 (hrs)] to [>15 (hrs)])	13. Hours per week reading: Interest or curiosity (5-point scale ranging from [<2 (hrs)] to [>15 (hrs)])	13. Hours per week reading: Relaxation or ‘escape’ (5-point scale ranging from [<2 (hrs)] to [>15 (hrs)])	13. Hours per week reading: Others (5-point scale ranging from [<2 (hrs)] to [>15 (hrs)])	14. Examples for other purposes of reading	15. Preferred genre	16. Frequency: Sharing what you read (4-point scale ranging from [never or hardly ever] to almost every day])	16. Frequency: Borrowing books from others (4-point scale ranging from [never or hardly ever] to almost every day])	16. Frequency: Borrowing books from libraries (4-point scale ranging from [never or hardly ever] to almost every day])	17. Categories of reading for enjoyment	18. Reading habits: Like hard, challenging books (4-point Likert scale ranging from [true for me] to [not true for me])	18. Reading habits: Make pictures in my mind (4-point Likert scale ranging from [true for me] to [not true for me])	18. Reading habits: Don’t like reading difficult (4-point Likert scale ranging from [true for me] to [not true for me])	18. Reading habits: Enjoy different countries (4-point Likert scale ranging from [true for me] to [not true for me])	18. Reading habits: Learn difficult things (4-point Likert scale ranging from [true for me] to [not true for me])	18. Reading habits: Learn interesting topics (4-point Likert scale ranging from [true for me] to [not true for me])	19. I like reading (4-point Likert scale ranging from [very true of me] to [not true of me])	20. Reading is (4-point Likert scale ranging from [very easy for me] to [very hard for me])	A LittleVery Little. Knowledge about Astronomy (Very Much-point Likert scale ranging from [very little] to [very much])	A LittleVery Little. Knowledge about Engineering (Very Much-point Likert scale ranging from [very little] to [very much])	A LittleVery Little. Knowledge about Environment (Very Much-point Likert scale ranging from [very little] to [very much])	A LittleVery Little. Knowledge about Mathematics (Very Much-point Likert scale ranging from [very little] to [very much])	A LittleVery Little. Knowledge about Physics (Very Much-point Likert scale ranging from [very little] to [very much])	A LittleVery Little. Knowledge about Technology (Very Much-point Likert scale ranging from [very little] to [very much])
039	18	M	1	undecided	Undergraduate student	history	none of my time reading	1	0	No	n/a	None	<2 (hrs)	2-3 (hrs)	2-3 (hrs)	none	<2 (hrs)	During school	In school, In the living room or family room	<2 (hrs)	<2 (hrs)	<2 (hrs)	<2 (hrs)	n/a	movies	never or hardly ever	never or hardly ever	never or hardly ever	sports	Not true for me	Somewhat  untrue for me	True for me	Somewhat  untrue for me	Not true for me	Somewhat  untrue for me	Not true of me	kind of hard for me	Very little	Very little	Moderate	A little	Very little	Moderate
041	19	M	1	Animal Science	Undergraduate student	History	very little of my time reading	2	1	No	n/a	None	<2 (hrs)	<2 (hrs)	2-3 (hrs)	2-3 (hrs)	2-3 (hrs)	After school	In bed	<2 (hrs)	<2 (hrs)	<2 (hrs)	<2 (hrs)	Research for papers	movies	never or hardly ever	never or hardly ever	never or hardly ever	sports	Somewhat  untrue for me	True for me	Not true for me	Somewhat  untrue for me	Somewhat true for me	Somewhat true for me	Not true of me	kind of easy for me	A little	Very little	A little	Moderate	Moderate	Moderate
042	24	M	1	Bioengineering	Graduate student	Science	some of my time reading	2	2	Yes	Game of Thrones, Malcolm Gladwell...	None	<2 (hrs)	<2 (hrs)	<2 (hrs)	<2 (hrs)	2-3 (hrs)	In the morning before school, Before falling asleep, Whenever I can	Anywhere I can	11-15 (hrs)	6-10 (hrs)	6-10 (hrs)	3-5 (hrs)	Closed Captions	books	once or twice a week	once or twice a month	once or twice a month	thrillers, short stories, science, science fiction, fantasy/mysteries	Somewhat  untrue for me	Somewhat true for me	Not true for me	True for me	True for me	True for me	Very true of me	very easy for me	A little	Very much	Moderate	Very much	Very much	Very much
043	24	M	1	Medical Student M.D. program	Graduate student	Science	some of my time reading	6	1	Yes	Novels, magazines, online articles	None	3-5 (hrs)	<2 (hrs)	2-3 (hrs)	<2 (hrs)	<2 (hrs)	During school, Lunchtime, In the evening, Before falling asleep	In school, At the library, In the living room or family room, In the bathroom, In front of a computer or TV, In bed	>15 (hr)	6-10 (hrs)	3-5 (hrs)	<2 (hrs)	n/a	movies	once or twice a month	never or hardly ever	never or hardly ever	sports, history, science, science fiction, comics/humor	Somewhat true for me	True for me	Not true for me	Somewhat true for me	True for me	True for me	Very true of me	very easy for me	A little	A little	A little	Moderate	Moderate	Moderate
044	32	M	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	2-3 (hrs)	>5 (hrs)	<2 (hrs)	<2 (hrs)	<2 (hrs)	2-3 (hrs)	In the evening, Before falling asleep, Whenever I can	At the library, In the kitchen, In the living room or family room, In front of a computer or TV, In bed, Anywhere I can	3-5 (hrs)	<2 (hrs)	<2 (hrs)	<2 (hrs)	Data mining for work	movies	almost every day	once or twice a month	never or hardly ever	sports, (auto)biography, thrillers, history, comics/humor	Somewhat true for me	True for me	Somewhat  untrue for me	Somewhat true for me	True for me	True for me	Somewhat true of me	kind of easy for me	A little	A little	Moderate	A lot	A little	Very much
045	31	M	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	2-3 (hrs)	>5 (hrs)	>5 (hrs)	2-3 (hrs)	2-3 (hrs)	3-5 (hrs)	In the evening, Before falling asleep, Whenever I can	In the kitchen, In the living room or family room, In front of a computer or TV, In bed	3-5 (hrs)	11-15 (hrs)	11-15 (hrs)	<2 (hrs)	n/a	books	almost every day	almost every day	once or twice a month	(auto)biography, drama, short stories, science fiction, comics/humor	True for me	True for me	Not true for me	True for me	True for me	True for me	Very true of me	very easy for me	A little	Moderate	Moderate	A lot	Moderate	Very much
046	21	F	1	Environmental Engineering	Graduate student	Science	some of my time reading	5	3	Yes	Novels	None	2-3 (hrs)	<2 (hrs)	2-3 (hrs)	none	none	During school, After school, Before falling asleep	In school, In bed	>15 (hr)	6-10 (hrs)	3-5 (hrs)	n/a	n/a	books	once or twice a week	once or twice a month	never or hardly ever	thrillers, drama, science fiction, nature and environment, fantasy/mysteries	Somewhat true for me	Somewhat true for me	Somewhat  untrue for me	Somewhat true for me	Somewhat true for me	Somewhat true for me	Very true of me	very easy for me	Very little	Moderate	A lot	Moderate	Moderate	Moderate
047	27	F	1	Environmental Engineering	Graduate student	Science	a lot of my time reading	1	4	Yes	Fiction books, news articles and opinion essays	<2 (hrs)	2-3 (hrs)	<2 (hrs)	none	none	<2 (hrs)	In the evening, Before falling asleep, Whenever I can	In school, In the living room or family room, In front of a computer or TV, In bed, Anywhere I can	6-10 (hrs)	11-15 (hrs)	6-10 (hrs)	<2 (hrs)	n/a	books	almost every day	once or twice a month	never or hardly ever	drama, history, science, science fiction, fantasy/mysteries	Somewhat true for me	True for me	Not true for me	True for me	True for me	True for me	Very true of me	very easy for me	A little	Very much	Very much	A lot	A lot	Moderate
048	26	M	1	Mechanical Engineering	Graduate student	Physics	some of my time reading	1	2	Yes	Online newspaper articles, novels, some journal articles, forum posts.	None	3-5 (hrs)	<2 (hrs)	<2 (hrs)	<2 (hrs)	none	In the morning before school, Before falling asleep, Whenever I can	In school, On the bus, In the living room or family room, In the bathroom, In front of a computer or TV, In bed, Anywhere I can	3-5 (hrs)	6-10 (hrs)	11-15 (hrs)	n/a	n/a	movies	once or twice a month	never or hardly ever	never or hardly ever	thrillers, history, fantasy/mysteries, comics/humor	Somewhat true for me	True for me	Somewhat  untrue for me	Somewhat true for me	Somewhat true for me	True for me	Somewhat true of me	kind of easy for me	A little	Very much	A lot	A lot	A lot	Moderate
049	21	F	1	chemical engineering	Undergraduate student	Biology	none of my time reading	5	1	No	n/a	<2 (hrs)	<2 (hrs)	<2 (hrs)	2-3 (hrs)	none	<2 (hrs)	During school, After school	In school, In front of a computer or TV	>15 (hr)	<2 (hrs)	<2 (hrs)	<2 (hrs)	n/a	movies	almost every day	never or hardly ever	never or hardly ever	thrillers, fantasy/mysteries	Not true for me	True for me	Somewhat true for me	Not true for me	Not true for me	Not true for me	Somewhat untrue of me	kind of easy for me	Very little	Moderate	Very little	A little	A little	Moderate
050	21	F	1	chemical engineering	Undergraduate student	Math	some of my time reading	4	1	Yes	romance novels or religious books	None	<2 (hrs)	<2 (hrs)	2-3 (hrs)	none	2-3 (hrs)	In the evening, After school, Before falling asleep	In the kitchen, In the living room or family room, In bed	11-15 (hrs)	<2 (hrs)	<2 (hrs)	<2 (hrs)	just information in the news, not what I necessarily want to know but that I feel like I should know	movies	once or twice a week	never or hardly ever	never or hardly ever	thrillers, drama, romance, fantasy/mysteries	Somewhat true for me	True for me	Somewhat true for me	True for me	True for me	Somewhat true for me	Somewhat true of me	kind of easy for me	A little	Very much	A little	Very much	Moderate	Moderate
051	21	M	1	Electrical Engineering 	Undergraduate student	Mathamatics	some of my time reading	2	4	Yes	Fiction, magazines, textbooks,	<2 (hrs)	3-5 (hrs)	<2 (hrs)	<2 (hrs)	none	<2 (hrs)	During school, In the evening, After school, Whenever I can	In school, In the bathroom, In front of a computer or TV, In bed, Anywhere I can	6-10 (hrs)	3-5 (hrs)	3-5 (hrs)	<2 (hrs)	n/a	books	once or twice a month	never or hardly ever	never or hardly ever	drama, history, science, comics/humor	Somewhat true for me	Somewhat true for me	Somewhat  untrue for me	Somewhat true for me	Somewhat true for me	True for me	Very true of me	kind of easy for me	A little	Moderate	Moderate	Moderate	Moderate	Moderate
052	22	F	1	International Business	Undergraduate student	Math	some of my time reading	8	3	No	n/a	<2 (hrs)	2-3 (hrs)	>5 (hrs)	>5 (hrs)	none	<2 (hrs)	In the evening, Before falling asleep	In the living room or family room, In bed	<2 (hrs)	<2 (hrs)	3-5 (hrs)	<2 (hrs)	n/a	books	once or twice a month	never or hardly ever	never or hardly ever	romance, fantasy/mysteries	Not true for me	True for me	Somewhat true for me	Not true for me	Not true for me	Somewhat true for me	Somewhat true of me	kind of easy for me	Very little	Very little	Very little	Moderate	Moderate	Moderate
